Price,Area,Location,Bedrooms,Resale,Gymnasium,Lift,Parking,Maintenance,Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas_Conn,Jogging Track,Swimming Pool
245000,545,Nala Sopara,1,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes
245000,560,Nala Sopara,1,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
245000,560,Nala Sopara,1,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
245000,585,Nala Sopara,1,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No
245100,570,Nala Sopara,1,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes
245100,570,Nala Sopara,1,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes
246000,510,Taloja,1,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes
246500,700,Shirgaon,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
247600,540,Vasai east,1,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No
248500,585,Nala Sopara,1,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No
248500,700,Shirgaon,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
249200,660,Ambarnath,1,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No
250000,540,Virar East,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No
250000,300,Kandivali East,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
250000,450,Taloja,1,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
250000,540,Virar East,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
250000,453,Naigaon East,1,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No
250000,545,Virar East,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
250000,690,Vangani,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
250000,728,Ambernath West,1,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
